OBJECTID,PointCount,ORIG_FID,POINT_X,POINT_Y,POINT_Z
249,667,34696,319932.899199999868870,100727.746999999508262,-0.201312333330861
250,102,19975,319939.370099999941885,100727.750099999830127,-0.109777083329391
251,327,34657,319948.733599999919534,100727.762299999594688,-0.271194083325099
252,327,34657,319928.089399999938905,100727.777499999850988,0.521127166677616
253,116,20564,319946.222000000067055,100727.801899999380112,-0.170800583320670
254,327,34657,319923.718600000254810,100727.808000000193715,0.298686666676076
255,667,34696,319927.988800000399351,100727.817099999636412,0.609709666678100
256,116,20564,319927.248200000263751,100727.823200000450015,0.548686166672269
257,116,20564,319942.799100000411272,100727.826300000771880,0.170734166676993
258,667,34696,319931.939000000245869,100727.829299999400973,-0.201312333330861
259,327,34657,319927.165900000371039,100727.844599999487400,0.639893333340297
260,327,34657,319947.642400000244379,100727.844599999487400,-0.188845166660030
261,86,20579,319923.657599999569356,100727.847599999979138,0.271127666666871
262,102,19975,319940.348500000312924,100727.865900000557303,-0.109777083329391
263,667,34696,319931.018600000068545,100727.896400000900030,-0.109777083329391
264,667,34696,319926.855000000447035,100727.908600000664592,0.399080166665954
265,116,20564,319947.191300000064075,100727.908600000664592,-0.149475166661432
266,116,20564,319928.296699999831617,100727.911599999293685,0.280314000003273
267,327,34657,319926.254499999806285,100727.917700000107288,0.749801250000019
268,327,34657,319946.538999999873340,100727.926899999380112,-0.188845166660030
269,116,20564,319944.000000000000000,100727.936000000685453,-0.170800583320670
270,87,19994,319924.014200000092387,100727.951300000771880,0.320012083335314
271,667,34696,319930.134600000455976,100727.960400000214577,0.140222416666802
272,86,20579,319924.776200000196695,100727.963400000706315,0.289500333339674
273,102,19975,319941.317800000309944,100727.972599999979138,-0.109777083329391
274,102,19975,319938.315499999560416,100727.993899999186397,-0.060892666660948
275,327,34657,319925.114599999971688,100728.000000000000000,0.188778750001802
276,667,34696,319925.785099999979138,100728.000000000000000,0.438778250012547
277,667,34696,319929.296400000341237,100728.009199999272823,0.591337000005296
278,116,20564,319948.108699999749660,100728.012199999764562,0.070012583339121
279,667,34696,319949.568699999712408,100728.015300000086427,-0.131102499988629
280,327,34657,319945.417299999855459,100728.018300000578165,-0.170800583320670
281,116,20564,319929.214100000448525,100728.027499999850988,0.499801750003826
282,327,34657,319949.766800000332296,100728.039599999785423,-0.210498666667263
283,116,20564,319945.118599999696016,100728.054899999871850,-0.118963416665792
284,87,19994,319925.014000000432134,100728.067099999636412,0.249802250007633
285,327,34657,319924.203200000338256,100728.076199999079108,0.320012083335314
286,667,34696,319924.703099999576807,100728.082299999892712,0.381035583341145
287,86,20579,319925.864400000311434,100728.082299999892712,0.451245416668826
288,102,19975,319942.286999999545515,100728.088400000706315,-0.091404416656587
289,667,34696,319928.293600000441074,100728.091499999165535,0.411547333336785
290,327,34657,319944.326100000180304,100728.100600000470877,-0.140288833325030
291,116,20564,319949.157200000248849,100728.109799999743700,-0.240682333329460
292,116,20564,319930.274799999780953,100728.112800000235438,0.210432250009035
293,327,34657,319948.788399999961257,100728.112800000235438,-0.201312333330861
294,667,34696,319948.425699999555945,100728.118899999186397,-0.188845166660030
295,102,19975,319939.455400000326335,100728.121899999678135,-0.118963416665792
296,327,34657,319923.261400000192225,100728.140200000256300,0.320012083335314
297,667,34696,319927.421900000423193,100728.146299999207258,0.688777750008740
298,116,20564,319946.255499999970198,100728.161599999293685,-0.149475166661432
299,667,34696,319923.630199999548495,100728.176799999549985,0.320012083335314
300,327,34657,319947.916699999943376,100728.179899999871850,0.179920499998843
301,87,19994,319926.001500000245869,100728.182900000363588,0.298686666676076
302,327,34657,319943.225800000131130,100728.182900000363588,-0.109777083329391
303,102,19975,319943.274600000120699,100728.195100000128150,-0.109777083329391
304,667,34696,319947.346699999645352,100728.201199999079108,-0.100590749992989
305,86,20579,319926.979899999685585,100728.210300000384450,0.579197916667908
306,116,20564,319931.332499999552965,100728.210300000384450,-0.070078999997349
307,667,34696,319926.391699999570847,100728.240800000727177,0.390221916677547
308,102,19975,319940.561900000087917,100728.250000000000000,-0.091404416656587
309,327,34657,319946.852900000289083,100728.262199999764562,-0.149475166661432
310,327,34657,319942.113300000317395,100728.265200000256300,-0.091404416656587
